Date,Open,High,Low,Close,Volume,Adj Close
2000-05-10,53.250044,53.687532,51.562535,52.250031,6593700,20.419605
2000-05-09,53.562539,54.000028,52.937531,53.062542,7591600,20.737139
2000-05-08,52.750029,53.875035,52.625035,53.562539,4818400,20.93254
2000-05-05,52.500039,54.000028,52.437533,52.875043,5449200,20.663863
2000-05-04,52.750029,53.250044,52.375028,52.625035,5935400,20.566159
2000-05-03,53.000036,53.375037,52.187526,53.062542,6087400,20.737139
2000-05-02,53.500034,53.93754,52.875043,53.250044,4502500,20.810415
2000-05-01,54.937532,54.937532,53.500034,54.062533,4926700,21.127941
2000-04-28,55.00004,55.00004,54.000028,54.750033,5705300,21.39662
2000-04-27,54.812538,55.125034,53.500034,55.125034,8152000,21.347771
2000-04-26,55.062546,55.500034,54.125042,55.00004,7072000,21.299366
2000-04-25,55.375041,55.437529,54.687545,55.00004,5792000,21.299366
2000-04-24,54.687545,55.625031,54.375029,55.312536,5555300,21.420383
2000-04-20,55.00004,55.125034,54.750033,55.125034,7322500,21.347771
2000-04-19,54.937532,55.437529,54.250035,55.00004,6462600,21.299366
2000-04-18,56.000032,56.125043,54.375029,55.375041,9557400,21.444589
2000-04-17,53.875035,57.250031,52.000045,57.062529,21496000,22.098087
2000-04-14,55.00004,56.000032,50.250031,52.250031,19022200,20.234395
2000-04-13,53.750038,54.937532,52.500039,54.437537,10207500,21.08153
2000-04-12,52.937531,54.687545,52.812534,53.625044,10217300,20.766884
2000-04-11,50.687537,52.812534,50.625031,51.937536,8232600,20.113377
2000-04-10,49.750033,52.000045,49.500026,51.062537,10174300,19.774525
2000-04-07,50.187543,50.375041,48.125033,48.375041,4480000,18.733762
2000-04-06,49.875026,50.312536,49.62504,49.937535,8161800,19.338855
2000-04-05,48.687536,49.62504,48.000036,49.312523,7871600,19.096813
2000-04-04,48.750041,49.812538,46.687532,49.062537,13769500,19.000003
2000-04-03,46.750037,48.000036,46.750037,47.000027,9295500,18.201273
2000-03-31,46.562535,46.687532,45.68754,45.937527,5097300,17.789809
2000-03-30,45.750028,46.625027,45.187525,46.625027,9839600,18.05605
2000-03-29,44.687528,45.750028,44.687528,44.812521,6008300,17.354138
2000-03-28,43.875038,44.750033,43.687536,44.500026,5174500,17.23312
2000-03-27,44.187534,45.062529,43.937526,44.187534,5726100,17.112105
2000-03-24,44.000032,45.250031,44.000032,44.625022,6384600,17.281527
2000-03-23,43.812529,45.250031,43.687536,44.500026,12420600,17.23312
2000-03-22,44.750033,45.250031,43.250027,44.000032,9256400,17.039492
2000-03-21,43.062528,45.937527,42.750033,45.812534,9053200,17.741404
2000-03-20,44.062537,44.250039,43.125033,43.750024,7709400,16.942674
2000-03-17,44.43752,46.000036,44.250039,44.625022,12064300,17.281527
2000-03-16,44.000032,44.375032,42.750033,43.812529,14633600,16.96688
2000-03-15,41.000036,44.062537,40.875022,44.062537,14963500,17.063698
2000-03-14,41.937522,41.937522,40.250031,41.000036,9783300,15.877711
2000-03-13,40.562526,42.625036,40.500021,42.56253,5938000,16.482804
2000-03-10,40.812534,41.812529,40.625035,41.062524,6017700,15.90191
2000-03-09,42.062533,42.18753,40.812534,41.625027,5908800,16.119746
2000-03-08,41.125029,42.625036,40.250031,42.56253,7834400,16.482804
2000-03-07,42.000027,42.437537,40.625035,41.125029,6905200,15.926116
2000-03-06,42.875026,43.625031,41.500033,41.937522,7033200,16.240763
2000-03-03,41.375019,43.187521,41.312531,42.687524,8321600,16.531209
2000-03-02,41.500033,41.812529,41.125029,41.375019,5370300,16.022928
2000-03-01,41.875034,42.18753,41.062524,41.593783,9631300,16.107646
2000-02-29,43.250027,43.312535,41.187538,41.625027,7659100,16.119746
2000-02-28,44.250039,44.250039,42.56253,42.687524,9181900,16.531209
2000-02-25,42.375028,44.250039,42.250035,42.937531,8183500,16.628027
2000-02-24,43.000019,43.250027,41.187538,42.500025,8694100,16.458598
2000-02-23,44.187534,44.250039,43.000019,43.000019,3801900,16.652227
2000-02-22,44.375032,44.87503,43.500034,44.062537,7342600,17.063698
2000-02-18,45.187525,45.437533,43.375023,43.375023,9104800,16.797451
2000-02-17,45.812534,46.625027,45.250031,45.875039,6101300,17.765609
2000-02-16,45.68754,46.437524,45.250031,46.312531,5907700,17.935033
2000-02-15,46.875031,46.875031,45.437533,46.375036,4605000,17.959239
2000-02-14,46.000036,47.125038,45.000023,47.062533,5710200,18.225479
2000-02-11,47.187526,47.187526,45.187525,46.125029,5298500,17.862421
2000-02-10,47.062533,47.250035,46.062524,47.000027,5803900,18.201273
2000-02-09,47.625036,47.750029,47.125038,47.187526,4513200,18.273884
2000-02-08,48.375041,48.875035,48.000036,48.125033,5246600,18.636944
2000-02-07,48.500034,48.500034,47.187526,47.937531,3732800,18.564332
2000-02-04,48.875035,49.000028,48.000036,48.062524,4310400,18.612737
2000-02-03,47.875026,48.875035,47.812538,48.750041,6290100,18.878985
2000-02-02,49.937535,50.562543,47.937531,48.625027,9993700,18.830572
2000-02-01,49.62504,50.00004,48.500034,49.812538,7414500,19.290449
2000-01-31,49.812538,50.187543,49.125025,49.750033,4956400,19.266243
2000-01-28,49.125025,49.875026,48.812529,49.000028,6029200,18.975796
2000-01-27,49.312523,50.00004,48.687536,49.937535,10779700,19.145225
2000-01-26,49.125025,49.250035,47.31254,48.000036,14526800,18.40242
2000-01-25,51.187534,51.25004,49.125025,50.125034,6527500,19.217109
2000-01-24,51.812542,51.937536,50.375041,51.125029,7922000,19.60049
2000-01-21,51.937536,52.000045,50.312536,50.437529,9005000,19.336914
2000-01-20,53.500034,53.687532,51.50003,52.218787,6817300,20.019819
2000-01-19,54.500043,54.875044,52.812534,53.437542,4516000,20.48707
2000-01-18,53.750038,55.00004,53.12503,54.250035,7774600,20.798566
2000-01-14,52.562527,52.937531,51.125029,51.750037,7472700,19.840108
2000-01-13,54.375029,54.375029,52.875043,53.062542,3928600,20.343301
2000-01-12,52.437533,54.500043,52.437533,53.687532,4919100,20.582912
2000-01-11,52.500039,53.500034,51.750037,52.187526,4231100,20.007834
2000-01-10,54.750033,55.187539,53.000036,53.625044,4956000,20.558955
2000-01-07,52.500039,55.00004,52.125038,54.625036,9266000,20.942335
2000-01-06,51.000032,51.812542,50.375041,50.875039,4544900,19.504648
2000-01-05,51.000032,51.50003,50.750025,50.812533,5038200,19.480685
2000-01-04,51.812542,52.250031,50.312536,50.625031,7322400,19.4088
2000-01-03,52.750029,53.187538,52.125038,52.375028,4056600,20.079719
